yyyymm,flow,vol,date,flow_resid,bin_vol,recession
198603,0.012239627,0.109198348,3/1/86,0.013002717,5,0
198606,0.012249609,0.124129103,6/1/86,0.014575516,6,0
198609,0.011168477,0.160999738,9/1/86,0.013252602,8,0
198612,0.029306455,0.107497719,12/1/86,0.023775016,5,0
198703,0.014676553,0.131718545,3/1/87,0.01551992,7,0
198706,0.012911888,0.151452848,6/1/87,0.015318074,8,0
198709,0.006354848,0.121745992,9/1/87,0.008519252,6,0
198712,0.01756873,0.507803226,12/1/87,0.012117569,10,0
198803,0.004607821,0.193908877,3/1/88,0.005531467,9,0
198806,0.008388767,0.15293347,6/1/88,0.010875231,8,0
198809,0.00639229,0.109981252,9/1/88,0.008636972,5,0
198812,0.019066995,0.100348718,12/1/88,0.013696112,4,0
198903,0.012993978,0.10104309,3/1/89,0.013997901,4,0
198906,0.011074165,0.097240469,6/1/89,0.013640907,4,0
198909,0.008476565,0.088827995,9/1/89,0.010801525,3,0
198912,0.016301774,0.1519195,12/1/89,0.01101117,8,0
199003,0.010785501,0.12514821,3/1/90,0.011869703,6,0
199006,0.008245012,0.107629033,6/1/90,0.010892032,5,0
199009,0.009627808,0.18376922,9/1/90,0.012033047,9,1
199012,0.014226389,0.162467341,12/1/90,0.009016062,8,1
199103,0.006410968,0.15581301,3/1/91,0.007575448,8,1
199106,0.00251041,0.125092238,6/1/91,0.005237708,6,0
199109,0.002634772,0.111368272,9/1/91,0.005120288,5,0
199112,0.025050723,0.135880792,12/1/91,0.019920674,7,0
199203,0.005420325,0.093571894,3/1/92,0.006665083,3,0
199206,0.003690823,0.109096935,6/1/92,0.0064984,5,0
199209,0.005186585,0.087642727,9/1/92,0.007752379,3,0
199212,0.019652839,0.077537978,12/1/92,0.014603068,2,0
199303,0.005336542,0.099083463,3/1/93,0.006661579,4,0
199306,0.002270098,0.094596808,6/1/93,0.005157952,3,0
199309,0.001842111,0.06672707,9/1/93,0.004488183,1,0
199312,0.012558308,0.068952951,12/1/93,0.007588816,1,0
199403,0.003977248,0.09406758,3/1/94,0.005382562,3,0
199406,0.004776892,0.109616458,6/1/94,0.007745024,5,0
